phone,price,brand
Microsoft Lumia 640 LTE Dual-Sim 8GB (White),698.54,Microsoft
Microsoft Lumia 640 LTE Dual-Sim 8GB (Cyan),698.54,Microsoft
Microsoft Lumia 640 LTE Dual-Sim 8GB (Orange),698.54,Microsoft
Lenovo P90 32GB (White),899.00,Lenovo
Microsoft Lumia 430 Dual-Sim 8GB (Orange),316.94,Microsoft
Microsoft Lumia 430 Dual-Sim 8GB (Black),316.94,Microsoft
Microsoft Lumia 640 XL Dual-Sim 8GB (Cyan),897.82,Microsoft
Microsoft Lumia 640 XL Dual-Sim 8GB (White),897.82,Microsoft
"ASUS ZenFone 2 FHD ZE551ML-6J289WW (Silver) - 5.5""/Z3560/2G/32G/3000MAH/ANDROID WW",880.00,ASUS
"ASUS ZenFone 2 FHD Plus ZE551ML-6J307WW (Silver) - 5.5""/Z3580/4GB/64GB/3000MAH/ANDROID WW","1,370.00",ASUS
Asus Zenfone Selfie ZD551KL 32GB (White),"1,049.00",ASUS
Asus Zenfone Selfie ZD551KL 32GB (Blue),"1,049.00",ASUS
"Asus Zenfone 2 Laser 5.5"" 16GB (White)",799.00,ASUS
"PHICOMM P660 Passion 5"" Smartphone Bundle",899.00,
Huawei Mate 8 NXT-L29 3RAM+32GB Moonlight Silver [OFFICIAL HUAWEI WARRANTY] [FREE GIFT : HUAWEI LAPTOP BAG],"1,598.00",Huawei
Huawei Mate 8 NXT-L29 3RAM+32GB Space Gray [OFFICIAL HUAWEI WARRANTY] [FREE GIFT : HUAWEI LAPTOP BAG],"1,598.00",Huawei
Asus Zenfone 2 64GB/4GB ZE551ML Silver [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],899.00,ASUS
Lenovo Vibe Shot 32GB/3GB Z90 Grey [FREE GIFT : Selfie Flash],769.00,Lenovo
Lenovo Vibe Shot 32GB/3GB Z90 Red [FREE GIFT : Selfie Flash],769.00,Lenovo
Lenovo Vibe Shot 32GB/3GB Z90 White [FREE GIFT : Selfie Flash],749.00,Lenovo
Asus Zenfone 2 32GB/4GB ZE551ML Black [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],699.00,ASUS
Asus Zenfone 2 32GB/4GB ZE551ML Red [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],699.00,ASUS
Asus Zenfone 2 32GB/4GB ZE551ML Silver [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],699.00,ASUS
Asus Zenfone 2 64GB/4GB ZE551ML Black [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],899.00,ASUS
Asus Zenfone 2 64GB/4GB ZE551ML Red [FREE GIFT : ZenFlash + Sandisk 16GB Class 10],899.00,ASUS
Xiaomi Mi Max 32GB/3GB Gold [FREE GIFT : Sandisk 16GB Class 10],939.00,Xiaomi
Xiaomi Mi Max 32GB/3GB Silver [FREE GIFT : Sandisk 16GB Class 10],939.00,Xiaomi
Samsung S7 Edge Gold,"2,939.00",Samsung
Samsung S7 Edge Silver,"2,939.00",Samsung
"CellTech C6 Smartphone (6 inch, Dual Core, 8GB ROM, 512 MB RAM) – White",260.00,CellTech
"CellTech J5 Smartphone ( 5.5 inch, Quad Core, 8GB ROM, 1GB RAM ) - Black",460.00,CellTech
"CellTech N3 Smartphone ( 5.0 inch, Dual Core, 4GB ROM, 512 MB RAM ) - Black",299.00,CellTech
"Celltech J3 Smartphone ( 5.0 Inch, Quad Core, 8GB ROM, 1GB RAM ) - White",399.00,CellTech
XiaoMi Redmi 3s Gold 5' 2GB RAM + 16GB (1 Year XiaoMi Malaysia Warranty),565.00,Xiaomi
Xiaomi Redmi 3S 4G 32GB/3GB RAM Gold [OFFICIAL XIAOMI MALAYSIA],689.00,Xiaomi
Huawei Honor 5A Dual Sim 16GB/2GB (Gold) (Official Huawei Warranty),629.00,Huawei
Huawei Honor 5A Dual Sim 16GB/2GB (White) (Official Huawei Warranty),599.00,Huawei
Huawei Honor 5A Dual Sim 16GB/2GB (Black) (Official Huawei Warranty),599.00,Huawei
Asus Zenfone 3 Max 32GB/3GB ZC520TL Gold [FREE GIFT : POWER BANK LOCA 8400mAH+SILICON CASE],789.00,ASUS
Asus Zenfone 3 Max 32GB/3GB ZC520TL Gray [FREE GIFT : POWER BANK LOCA 8400mAH+SILICON CASE],789.00,ASUS
"Lenovo Vibe K5 A6020 (5.0""/2GB RAM/16GB ROM) - Grey [FREE GIFT: 16GB Memory Card]",547.00,Lenovo
"Lenovo Vibe C LTE A2020 (5.0""/1GB RAM/16GB ROM) - Black [FREE GIFT: 16GB Memory Card]",335.00,Lenovo
"Lenovo Vibe C LTE A2020 (5.0""/1GB RAM/16GB ROM) - White [FREE GIFT: 16GB Memory Card]",335.00,Lenovo
Xiaomi Redmi 3S Pro 32GB Gold [FREE GIFT: Car Charger],679.00,Xiaomi
Xiaomi RedMi 1S - Grey,269.00,Xiaomi
Samsung Galaxy S7 Edge 5.5' 4GB/32GB (SM-N935F) - Black Onyx,"2,699.00",Samsung
Samsung Galaxy S7 Edge 5.5' 4GB/32GB (SM-N935F) - Gold Platinium,"2,699.00",Samsung
Samsung Galaxy S7 Edge 5.5' 4GB/32GB (SM-N935F) - Silver Titanium,"2,699.00",Samsung
Lenovo Vibe K5 A6020 16GB/2GB - Grey,549.00,Lenovo
HUAWEI HONOR 5A 2GB/16GB (Silver) [FREE GIFT: Mini Rubber Mobile Stand],599.00,Huawei
Lenovo Vibe K5 A6020 16GB/2GB - Silver,549.00,Lenovo
Lenovo Vibe C A2020 16GB - White,329.00,Lenovo
Lenovo Vibe C A2020 16GB - Black,329.00,Lenovo
Lenovo A6010 Smartphone (Quad Core 1.2Ghz / 2GB RAM / 16GB) - Black [FREE GIFT: Antivirus Karpersky],399.00,Lenovo
Lenovo A6010 Smartphone (Quad Core 1.2Ghz / 2GB RAM / 16GB) - White [FREE GIFT: Antivirus Karpersky],399.00,Lenovo
Huawei Y5 II CUN-L22 - Black [FREE GIFT: Mini Rubber Mobile Stand],488.00,Huawei
Huawei Y5 II CUN-L22 - Gold [FREE GIFT: Mini Rubber Mobile Stand],488.00,Huawei
Lenovo Vibe P1m LTE 2GB/16GB - White,459.00,Lenovo
Lenovo Vibe P1 Turbo 32GB/3GB - Silver,899.00,Lenovo
Lenovo Vibe S1 Lite 16GB/2GB - Midnight Blue,545.00,Lenovo
